Access Billing Services,,,,,,,,,,,,,,,,,,,,,,,,,
"TA / PETRO PRICING WORKSHEET, For: TRANSPORTATION STAFFING SER Effective Date: 03/02/2015",,,,,,,,,,,,,,,,,,,,,,,,,
* Reflects Deal Change in last 45 Calendar Days,,,,,,,,,,,,,,,,,,,,,,,,,
***RETAIL PRICES ARE SUBJECT TO CHANGE AT ANY TIME***,,,,,,,,,,,,,,,,,,,,,,,,,
Number of deals that changed: 1,,,,,  INDEXED BASE PRICING (IBP) COMPONENTS  ,,,,,,,,,,,,,,,Retail Less @05:37 AM,,,,,
Loc,Loc,,,Third Party,Price-Based Rack,Opis,Product,* Deal Chg,Deal Eff.,,,Fed.,State,Sales,State,Other,Additive,IBP,IBP,Retail,Retail,Retail,Fuel,Savings,Bulk DEF
Type,#,Travel Center,ST,Merchant ID,(City/State),Rack ID,Dispensed,,Date,Index,Freight,Tax,Tax,Tax,UST,Tax,/ CAR Fee,Adjustment,Fuel Price,Price,Factor,Fuel Price,Price,Total,Price
CORP,5007,PETRO ONTARIO EAST            ,CA,CA264     ,"COLTON,CA                     ",870,DIESEL CARB ULTRA LOW SULFUR  ,,5/5/2011,2.0519,0.0475,0.244,0.11,0.2424,0.02,0.0019,0.1211,0,2.8388,3.219,-0.1,3.119,2.839,,2.849
CORP,433,TA REDDING                    ,CA,CA088     ,"CHICO, CA                     ",866,DIESEL CARB ULTRA LOW SULFUR  ,,2/18/2011,2.1225,0.0544,0.244,0.11,0.2381,0.02,0.0019,0.1211,0.01,2.922,3.219,-0.05,3.169,2.922,,2.849
CORP,431,TA SANTA NELLA                ,CA,CA097     ,STOCKTON CA                   ,975,DIESEL CARB ULTRA LOW SULFUR  ,,2/18/2011,2.1181,0.0558,0.244,0.11,0.2378,0.02,0.0019,0.1211,0.01,2.9187,3.199,-0.05,3.149,2.919,,2.849
CORP,6346,PETRO SANTA NELLA             ,CA,CA806     ,STOCKTON CA                   ,975,DIESEL CARB ULTRA LOW SULFUR  ,,8/2/2012,2.1181,0.0578,0.244,0.11,0.2408,0.02,0.0019,0.1211,0.04,2.9537,3.199,-0.02,3.179,2.954,,2.849
CORP,5070,TA COMMERCE CITY              ,CO,CO302     ,"DENVER,CO                     ",800,DIESEL ULTRA LOW SULFUR       ,,5/5/2011,2.0168,0.026,0.244,0.205,0,0,0.0144,0,0.01,2.5162,2.819,-0.07,2.749,2.516,,2.859
CORP,6399,PETRO JOHNSONS CORNER         ,CO,CO098     ,,,,,,,,,,,,,,,,2.779,0,2.779,2.779,,3.199
CORP,6228,TA LIMON                      ,CO,CO062     ,"DENVER,CO                     ",800,DIESEL ULTRA LOW SULFUR       ,,5/5/2011,2.0168,0.0567,0.244,0.205,0,0,0.0144,0,0.01,2.5469,2.819,-0.06,2.759,2.547,,2.859
CORP,432,TA WHEAT RIDGE                ,CO,CO254     ,"DENVER,CO                     ",800,DIESEL ULTRA LOW SULFUR       ,,5/5/2011,2.0168,0.0273,0.244,0.205,0,0,0.0144,0,0.01,2.5175,2.819,-0.07,2.749,2.518,,2.859
CORP,115,TA NEW HAVEN                  ,CT,CT010     ,"NEW HAVEN, CT                 ",100,DIESEL ULTRA LOW SULFUR       ,,8/2/2012,2.4215,0.0247,0.244,0.545,0,0,0.0019,0,0.01,3.2471,3.569,-0.05,3.519,3.247,,2.969
CORP,5079,TA SOUTHINGTON                ,CT,CT070     ,"NEW HAVEN, CT                 ",100,DIESEL ULTRA LOW SULFUR       ,,2/18/2011,2.4215,0.0396,0.244,0.545,0,0,0.0019,0,0.01,3.262,3.569,-0.05,3.519,3.262,,2.959
CORP,5009,TA WILLINGTON                 ,CT,CT112     ,"NEW HAVEN, CT                 ",100,DIESEL ULTRA LOW SULFUR       ,,2/18/2011,2.4215,0.049,0.244,0.545,0,0,0.0019,0,0.01,3.2714,3.569,-0.05,3.519,3.271,,2.969
CORP,6247,TA BALDWIN                    ,FL,FL362     ,"JACKSONVILLE, FL              ",75,DIESEL ULTRA LOW SULFUR       ,,11/28/2012,2.1618,0.0296,0.244,0.173,0,0.0207,0.1449,0,0,2.774,3.069,-0.05,3.019,2.774,,2.859
CORP,6248,TA JACKSONVILLE SOUTH         ,FL,FL279     ,"JACKSONVILLE, FL              ",75,DIESEL ULTRA LOW SULFUR       ,,11/29/2012,2.1618,0.0396,0.244,0.173,0,0.0207,0.1449,0,0,2.784,3.069,-0.05,3.019,2.784,,2.859
CORP,605,TA MARIANNA                   ,FL,FL071     ,"BAINBRIDGE, GA                ",20,DIESEL ULTRA LOW SULFUR       ,,5/5/2011,2.0302,0.0369,0.244,0.173,0,0.0207,0.1449,0,0.01,2.6597,2.999,-0.1,2.899,2.66,,2.859
CORP,6323,PETRO OCALA                   ,FL,FL652     ,"TAMPA, FL                     ",225,DIESEL ULTRA LOW SULFUR       ,,8/2/2012,2.2479,0.0629,0.244,0.173,0,0.0207,0.1449,0,0.02,2.9134,3.019,-0.04,2.979,2.913,,2.859
CORP,5084,TA TAMPA                      ,FL,FL969     ,"TAMPA, FL                     ",225,DIESEL ULTRA LOW SULFUR       ,,5/5/2011,2.2479,0.027,0.244,0.173,0,0.0207,0.1449,0,0,2.8575,3.059,-0.05,3.009,2.858,,2.859
CORP,672,TA VERO BEACH                 ,FL,FL320     ,"MIAMI, FL                     ",95,DIESEL ULTRA LOW SULFUR       ,,5/5/2011,2.2914,0.051,0.244,0.173,0,0.0207,0.1449,0,0,2.925,3.059,-0.05,3.009,2.925,,2.859
CORP,656,TA WILDWOOD                   ,FL,FL351     ,"TAMPA, FL                     ",225,DIESEL ULTRA LOW SULFUR       ,,5/5/2011,2.2479,0.0575,0.244,0.173,0,0.0207,0.1449,0,0,2.888,3.039,-0.05,2.989,2.888,,2.859
CORP,6322,PETRO ATLANTA                 ,GA,GA428     ,"ATLANTA, GA                   ",18,DIESEL ULTRA LOW SULFUR       ,,2/18/2011,2.0733,0.0262,0.244,0.213,0,0.0075,0.1284,0,-0.01,2.6824,3.049,-0.055,2.994,2.682,,2.849
CORP,6258,TA BRUNSWICK                  ,GA,GA979     ,"JACKSONVILLE, FL              ",75,DIESEL ULTRA LOW SULFUR       ,,1/5/2014,2.1618,0.0525,0.244,0.213,0,0.0075,0.0656,0,-0.03,2.7144,2.939,-0.05,2.889,2.714,,2.849
CORP,6377,PETRO CARNESVILLE             ,GA,GA547     ,"ATHENS, GA                    ",16,DIESEL BIO ULTRA LS 10%       ,,8/2/2012,2.0836,0.037,0.244,0.213,0,0.0075,0.0968,0,0.03,2.7119,2.899,-0.04,2.859,2.712,,2.849
CORP,5071,TA CARTERSVILLE               ,GA,GA835     ,"ROME, GA                      ",193,DIESEL ULTRA LOW SULFUR       ,,9/12/2012,2.1047,0.0286,0.244,0.213,0,0.0075,0.0968,0,-0.01,2.6846,2.829,-0.05,2.779,2.685,,2.849
CORP,677,TA COMMERCE                   ,GA,GA034     ,"ATHENS, GA                    ",16,DIESEL BIO ULTRA LS 10%       ,,9/12/2012,2.0836,0.0207,0.244,0.213,0,0.0075,0.0968,0,0,2.6656,2.899,-0.05,2.849,2.666,,2.849
